Iteration,User Count,Action
0,77,No Action
1,77,move_user
2,77,move_user
3,77,move_user
4,77,move_user
5,77,move_user
6,77,increase_request_ratio
7,77,move_user
8,77,increase_request_ratio
9,77,move_user
10,77,move_user
11,77,increase_request_ratio
12,77,decrease_request_ratio
13,77,move_user
14,77,move_user
15,77,move_user
16,77,decrease_request_ratio
17,77,move_user
18,77,move_user
19,77,decrease_request_ratio
20,77,move_user
21,77,move_user
22,77,decrease_request_ratio
23,77,move_user
24,77,move_user
25,77,move_user
26,77,move_user
27,77,increase_request_ratio
28,77,decrease_request_ratio
29,77,move_user
30,77,move_user
31,77,increase_request_ratio
32,77,move_user
33,77,move_user
34,77,decrease_request_ratio
35,77,move_user
36,77,decrease_request_ratio
37,77,move_user
38,77,increase_request_ratio
39,77,move_user
40,77,decrease_request_ratio
41,77,move_user
42,78,new_user
43,78,increase_request_ratio
44,78,move_user
45,78,move_user
46,78,move_user
47,78,move_user
48,78,move_user
49,78,move_user
